title,singer,bilibili_url,bvid,page,start_seconds,end_seconds,duration_seconds,cover_url
那年的情书,江美琪,https://www.bilibili.com/video/BV1pr6aYiE97/?p=84,BV1pr6aYiE97,84,,,273,https://i0.hdslb.com/bfs/storyff/n241229sasnt6or4rj15q26o4myqurpr_firsti.jpg
为你我受冷风吹,林忆莲,https://www.bilibili.com/video/BV1pr6aYiE97/?p=85,BV1pr6aYiE97,85,,,260,https://i2.hdslb.com/bfs/storyff/n241229sa2ph6pywohogpq3n0kzfpo6e_firsti.jpg
慢慢喜欢你,莫文蔚,https://www.bilibili.com/video/BV1pr6aYiE97/?p=86,BV1pr6aYiE97,86,,,222,https://i1.hdslb.com/bfs/storyff/n241229sa2lm6o8xhr4ed83on8o8gsf5_firsti.jpg
悲伤剧情,苏星婕,https://www.bilibili.com/video/BV1pr6aYiE97/?p=87,BV1pr6aYiE97,87,,,167,https://i1.hdslb.com/bfs/storyff/n241229sa6jb6l4dxntcf2h9ylz7zrjl_firsti.jpg
寂寞烟火,蓝心羽,https://www.bilibili.com/video/BV1pr6aYiE97/?p=88,BV1pr6aYiE97,88,,,253,https://i0.hdslb.com/bfs/storyff/n241229sa5j8o18mu9tog13ut7re2hhp_firsti.jpg
放纵L,怪阿姨,https://www.bilibili.com/video/BV1pr6aYiE97/?p=89,BV1pr6aYiE97,89,,,208,https://i2.hdslb.com/bfs/storyff/n241229sa160vbjo783vdm2xowl37ywf_firsti.jpg
落 (花开花落日升日没),唐伯虎Annie,https://www.bilibili.com/video/BV1pr6aYiE97/?p=90,BV1pr6aYiE97,90,,,185,https://i2.hdslb.com/bfs/storyff/n241229sa1zcipd62u4xra24t8j7x5h3_firsti.jpg
阿嬷 (爱国版),周林枫,https://www.bilibili.com/video/BV1pr6aYiE97/?p=91,BV1pr6aYiE97,91,,,189,https://i2.hdslb.com/bfs/storyff/n241229sacw3up0qniwib2ihukr0g27r_firsti.jpg
体面,于文文,https://www.bilibili.com/video/BV1pr6aYiE97/?p=92,BV1pr6aYiE97,92,,,283,https://i2.hdslb.com/bfs/storyff/n241229sa271zh84gg8utv120oha741q_firsti.jpg
侧脸,于果,https://www.bilibili.com/video/BV1pr6aYiE97/?p=93,BV1pr6aYiE97,93,,,219,https://i0.hdslb.com/bfs/storyff/n241229sa2fupfmy8vputobrsex6utn2_firsti.jpg
可能否 (新版),木小雅,https://www.bilibili.com/video/BV1pr6aYiE97/?p=94,BV1pr6aYiE97,94,,,228,https://i1.hdslb.com/bfs/storyff/n241229sa2bpch3w4uhmc21qhmlee0og_firsti.jpg
樱花树下的约定（完整版）,旺仔小乔,https://www.bilibili.com/video/BV1pr6aYiE97/?p=95,BV1pr6aYiE97,95,,,178,https://i2.hdslb.com/bfs/storyff/n241229sa3ay0jl4hyrv9s2s96o4nwri_firsti.jpg
走马,陈粒,https://www.bilibili.com/video/BV1pr6aYiE97/?p=96,BV1pr6aYiE97,96,,,236,https://i0.hdslb.com/bfs/storyff/n241229sa3m3hwca5bzhqi3fob1w1c9i_firsti.jpg
佛系少女,冯提莫,https://www.bilibili.com/video/BV1pr6aYiE97/?p=97,BV1pr6aYiE97,97,,,196,https://i2.hdslb.com/bfs/storyff/n241229safdc17181e7lv34h1a7w8045_firsti.jpg
红昭愿,音阙诗听,https://www.bilibili.com/video/BV1pr6aYiE97/?p=98,BV1pr6aYiE97,98,,,174,https://i0.hdslb.com/bfs/storyff/n241229sayqy9ayt969713ct171rjpn7_firsti.jpg
夏天的风,温岚,https://www.bilibili.com/video/BV1pr6aYiE97/?p=99,BV1pr6aYiE97,99,,,241,https://i0.hdslb.com/bfs/storyff/n241229sa297fm0h9wrcjm1q160oc39e_firsti.jpg
说散就散,袁娅维TIA RAY,https://www.bilibili.com/video/BV1pr6aYiE97/?p=100,BV1pr6aYiE97,100,,,243,https://i2.hdslb.com/bfs/storyff/n241229sabmh2vdd7g63c2axwyb07b8r_firsti.jpg
